,nn.conv2d,nn.batch_norm,nn.relu,nn.max_pool2d,add,nn.adaptive_avg_pool2d,reshape,squeeze,nn.dense,nn.bias_add,layout_transform,expand_dims,pass,const
0,53,53,49,1,16,1,1,1,1,1.0,,,sequential,0
1,53,53,49,1,16,1,1,1,1,1.0,,,InferType,0
2,53,53,49,1,16,1,1,1,1,1.0,,,AlterOpLayout,0
3,53,53,49,1,16,1,1,1,1,1.0,,,InferType,0
4,53,53,49,1,16,1,1,1,1,1.0,,,InferType,0
5,53,53,49,1,16,1,1,1,1,1.0,,,CanonicalizeCast,0
6,53,53,49,1,16,1,1,1,1,1.0,,,InferType,0
7,53,53,49,1,16,1,1,1,1,1.0,,,InferType,0
8,53,53,49,1,16,1,1,1,1,1.0,,,CanonicalizeOps,0
9,53,53,49,1,17,1,1,1,1,,,,InferType,0
10,53,53,49,1,17,1,1,1,1,,,,InferType,0
11,53,53,49,1,17,1,1,1,1,,,,CanonicalizeOps,0
12,53,53,49,1,17,1,1,1,1,,,,InferType,0
13,53,53,49,1,17,1,1,1,1,,,,ConvertLayout,0
14,53,53,49,1,17,1,1,1,1,,55.0,1.0,InferType,0
15,53,53,49,1,17,1,1,1,1,,55.0,1.0,InferType,0
16,53,53,49,1,17,1,1,1,1,,55.0,1.0,DefuseOps,0
17,53,53,49,1,17,1,1,1,1,,55.0,1.0,InferType,0
18,53,53,49,1,17,1,1,1,1,,55.0,1.0,InferType,0
19,53,53,49,1,17,1,1,1,1,,55.0,1.0,EliminateCommonSubexpr,0
20,53,53,49,1,17,1,1,1,1,,55.0,1.0,InferType,0
