,nn.conv2d,nn.batch_norm,nn.relu,nn.max_pool2d,add,nn.adaptive_avg_pool2d,reshape,squeeze,nn.dense,nn.bias_add,pass
0,53,53,49,1,16,1,1,1,1,1,sequential
1,53,53,49,1,16,1,1,1,1,1,InferType
2,53,53,49,1,16,1,1,1,1,1,AlterOpLayout
3,53,53,49,1,16,1,1,1,1,1,InferType
4,53,53,49,1,16,1,1,1,1,1,InferType
5,53,53,49,1,16,1,1,1,1,1,FuseOps
6,53,53,49,1,16,1,1,1,1,1,InferType
7,53,53,49,1,16,1,1,1,1,1,InferType
8,53,53,49,1,16,1,1,1,1,1,SimplifyExpr
9,53,53,49,1,16,1,1,1,1,1,InferType
10,53,53,49,1,16,1,1,1,1,1,InferType
11,53,53,49,1,16,1,1,1,1,1,InferType
12,53,53,49,1,16,1,1,1,1,1,InferType
13,53,53,49,1,16,1,1,1,1,1,InferType
14,53,53,49,1,16,1,1,1,1,1,InferType
15,53,53,49,1,16,1,1,1,1,1,InferType
16,53,53,49,1,16,1,1,1,1,1,InferType
17,53,53,49,1,16,1,1,1,1,1,InferType
18,53,53,49,1,16,1,1,1,1,1,InferType
19,53,53,49,1,16,1,1,1,1,1,InferType
20,53,53,49,1,16,1,1,1,1,1,InferType
21,53,53,49,1,16,1,1,1,1,1,InferType
22,53,53,49,1,16,1,1,1,1,1,InferType
23,53,53,49,1,16,1,1,1,1,1,InferType
24,53,53,49,1,16,1,1,1,1,1,InferType
25,53,53,49,1,16,1,1,1,1,1,InferType
26,53,53,49,1,16,1,1,1,1,1,InferType
27,53,53,49,1,16,1,1,1,1,1,FoldConstant
28,53,53,49,1,16,1,1,1,1,1,InferType
29,53,53,49,1,16,1,1,1,1,1,InferType
30,53,53,49,1,16,1,1,1,1,1,DeadCodeElimination
31,53,53,49,1,16,1,1,1,1,1,RemoveUnusedFunctions
